Permit_Number,Owner_Name,Operating_Name,Street,City,State,Prem_Zip,Prem_County,Industry_Type,New_Permit_Flag
CA-I-22400,"DELICATO VINEYARDS, LLC",,455 DEVLIN RD STE 102,NAPA,CA,94558,NAPA COUNTY,Importer (Alcohol),0
CA-I-22402,"BELZMART GROUP, LLC",,916 J AVE,CORONADO,CA,92118,,Importer (Alcohol),0
CA-I-22403,J&E TRADING INC,J&E Trading,1922 COGSWELL RD,SOUTH EL MONTE,CA,91733,LOS ANGELES,Importer (Alcohol),0
CA-I-22404,"CHRISTY CORNER, LLC",Tia Linda's,17502 BOWSER RD,LODI,CA,95240,SAN JOAQUIN,Importer (Alcohol),0
CA-I-22405,"SUZUKI MARKETING, INCORPORATED","VinAsia, Incorporated",551 ECCLES AVE UNIT 3,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,Importer (Alcohol),0
CA-I-22406,KHULTURA BEVERAGES,,660 MONTEREY PASS RD STE 219,MONTEREY PARK,CA,91754,LOS ANGELES,Importer (Alcohol),0
CA-I-22408,BLUE HOUSE WINES LLC,BLUE HOUSE WINES LLC,667 BRUSH CREEK RD,SANTA ROSA,CA,95404,SONOMA,Importer (Alcohol),0
CA-I-22409,LE WINE IMPORTER LLC,Le Wine Importer,202 SANTA ROSA AVE,OAKLAND,CA,94610,,Importer (Alcohol),0
CA-I-22410,"YATTA BEVERAGE, LLC",,819 OCEAN PARK BLVD UNIT 2,SANTA MONICA,CA,90405,LOS ANGELES,Importer (Alcohol),0
CA-I-22411,MAIYA FOOD INC.,Maiya Food,15320 SALT LAKE AVE,CITY OF INDUSTRY,CA,91745,LOS ANGELES,Importer (Alcohol),0
CA-I-22412,AMETHYST BEVERAGE LLC,,118 E AIRPORT DR UNIT 204,SAN BERNARDINO,CA,92408,RIVERSIDE,Importer (Alcohol),0
CA-I-22413,SWS LLC,Select Wine Sourcing,1807 ARLINGTON BLVD,EL CERRITO,CA,94530,CONTRA COSTA,Importer (Alcohol),0
CA-I-22414,"POUR MANAGEMENT, LLC",Pour Management,1731 ARROYO SIERRA CIR,SANTA ROSA,CA,95405,SONOMA,Importer (Alcohol),0
CA-I-22415,JOSUE ROJAS,Piñata Productions,2442 OCEAN PARK BLVD STE C,SANTA MONICA,CA,90405,LOS ANGELES,Importer (Alcohol),0
CA-I-22416,HAYASA IMPORTING CORP.,Hayasa Importing Corp,13455 VENTURA BLVD UNIT 237,SHERMAN OAKS,CA,91423,LOS ANGELES,Importer (Alcohol),0
